reach_id;FromN;ToN;Slope;Wac;Q;n;D16;D50;D84;Length;x_FN;y_FN;x_TN;y_TN;el_FN;el_TN;deposit
38;38;39;0.002;42.5;288.5443416;0.1;0.00023339;0.000455452;0.001028137;1999.655121;753555;5947075;754285;5945425;143.2540712;139.254761;0
39;39;40;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1669.949494;754285;5945415;755015;5944145;139.254761;129.0754202;0
40;40;41;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1666.101731;755015;5944135;756145;5943335;129.0754202;118.9195338;0
41;41;42;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1682.964646;756155;5943335;757625;5943635;118.9195338;108.6608579;0
42;42;43;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1666.396103;757645;5943635;758305;5944535;108.6608579;98.50317712;0
43;43;44;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1669.238816;758315;5944535;759265;5943515;98.50317712;88.32816833;0
44;44;45;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1669.949494;759275;5943505;759055;5942355;88.32816833;78.14882754;0
45;45;46;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1662.670273;759055;5942325;758035;5941515;78.14882754;68.01385795;0
46;46;47;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1674.386002;758025;5941505;757625;5940185;68.01385795;57.80747398;0
47;47;48;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1680.832611;757625;5940175;756875;5939505;57.80747398;47.56179408;0
48;48;49;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1669.238816;756855;5939505;755455;5940145;47.56179408;37.38678529;0
49;49;50;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1672.375901;755445;5940145;754075;5939495;37.38678529;27.1926541;0
50;50;51;0.006095598;42.5;302.7672464;0.1;0.00023339;0.000455452;0.001028137;1682.670273;754065;5939485;754155;5938365;27.1926541;16.93577255;0
