reach_id;FromN;ToN;Slope;Wac;Q;n;D16;D50;D84;tr_limit;Length;x_FN;y_FN;x_TN;y_TN;el_FN;el_TN;Ad;directAd;StrO;deposit
1;1;2;0.010502;32;100;0.1;0.00141;0.002;0.004;1;32904.59264;486265.5552;4429796.622;464918.2274;4435798.989;681.055237;335.5;527.511015;527.511015;1;100
2;2;3;0.002761;40;120;0.1;0.00141;0.002;0.004;1;76606.0026;464918.2274;4435798.989;418205.2515;4460310.744;335.5;123.963135;2041.96911;944.610665;2;0
3;3;4;0.001434;45;150;0.1;0.00141;0.002;0.004;1;79797.63557;418205.2515;4460310.744;378800.5959;4492507.537;123.963135;9.5;4720.707611;2172.31685;2;0
4;4;4;0.00042;50;200;0.1;0.00141;0.002;0.004;1;14273.27523;378800.5959;4492507.537;373426.0922;4496601.201;9.5;3.5;6453.70264;0;2;0
5;5;2;0.008172;32;50;0.1;0.00141;0.002;0.004;1;33399.18345;485135.4025;4452399.675;464918.2274;4435798.989;608.453491;335.5;569.847429;569.847429;1;0
6;6;3;0.001877;32;50;0.1;0.00141;0.002;0.004;1;41181.28917;430586.7015;4431002.119;418205.2515;4460310.744;201.275497;123.963135;506.42165;506.42165;1;0
7;7;4;0.002589;32;50;0.1;0.00141;0.002;0.004;1;29175.15233;381337.1607;4471888.53;378800.5959;4492507.537;85.045799;9.5;519.267897;519.267897;1;0
